;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
QUALIFICAÇÃO;NOME;GRAU;DECRETO;PORTARIA;;;
Cel Av;RONALDO DI CIERO MIRANDA;Cavaleiro;15/10/2018;;;;
Cel (Int) Ex;RONALDO DIAS CAMINHA;Oficial;16/09/1998;;;;
Doutor;RONALDO DO MONTE ROSA;Oficial;12/09/1990;;;;
Doutor;RONALDO DO VALLE SIMÕES;Oficial;17/09/1980;;;;
Embaixador;RONALDO EDGAR DUNLOP;Grande-Oficial;25/09/2008;;;;
Cel Int;RONALDO FERREIRA DA SILVA;Oficial;26/09/2005;;;;
Senhor;RONALDO FERREIRA PERES;Cavaleiro;;2.267/MD;21/10/2015;;
SO QSS BSP;RONALDO FIGUEIRA QUINTAL JUNIOR;Cavaleiro;13/10/2016;;;;
C Alte;RONALDO FIUZA DE CASTRO;Comendador;16/09/1998;;;;
Comandante;RONALDO FLÁVIO TEIXEIRA PEIXOTO;Cavaleiro;12/09/1995;;;;
Ministro-Chefe da Secretaria-Geral da Presidência da República;RONALDO FONSECA DE SOUZA;Grande-Oficial;15/10/2018;;;;
SO QSS BET;RONALDO FRANCA CARDEAL;Cavaleiro;13/10/2020;;;;
Brig Ar R/1;RONALDO FRANCISCO KRÜGER MARTINS;Comendador;25/09/2008;;;;
Ten Cel Av Ref;RONALDO JENKINS DE LEMOS;Oficial;19/10/2010;;;;
Consultor-Geral da União;RONALDO JORGE ARAÚJO VIEIRA JÚNIOR;Comendador;04/10/2007;;;;
Auditor Fiscal da RFB;RONALDO LÁZARO MEDINA;Cavaleiro;;3.210/GM-MD;25/09/2020;;
Senhor;RONALDO LIRA RODRIGUES;Cavaleiro;19/10/2010;;;;
Cel Int;RONALDO LOIOLA MACHADO;Oficial;20/10/2015;;;;
Ten Cel Av;RONALDO MARCOS GIORDANO;Oficial;05/09/1988;;;;
Doutor;RONALDO MOREIRA DA ROCHA;Comendador;09/10/1972;;;;
Embaixador;RONALDO MOTA SARDEMBERG;Grande-Oficial;18/09/1991;;;;
Cel Av;RONALDO NEY TELLES BELCHIOR DE OLIVEIRA;Oficial;12/09/1990;;;;
Cel Av;RONALDO NEY TELLES BELCHIOR OLIVEIRA FILHO;Oficial;19/10/2010;;;;
Doutor;RONALDO PASSARINHO PINTO DE SOUZA;Comendador;18/09/1991;;;;
1S QSS SAD;RONALDO PINTO DA SILVA;Cavaleiro;13/10/2016;;;;
Senador da República;RONALDO RAMOS CAIADO;Grande-Oficial;20/10/2015;;;;
Doutor;RONALDO REBELLO DE BRITO POLETTI;Grande-Oficial;20/09/1984;;;;
Ten Cel Av;RONALDO RUI LOBO CÉSAR;Oficial;01/09/1987;;;;
Maj Brig Ar R/1;RONALDO SALAMONE NUNES;Grande-Oficial;20/09/2006;;;;
CMG;RONALDO SCHARA JÚNIOR;Oficial;22/10/2014;;;;
3S QESA SAD;RONALDO SILVA SABÓIA;Cavaleiro;20/09/2006;;;;
Coronel Aviador;RONALDO VENANCIO;Oficial;20/09/2019;;;;
Segundo-Tenente QAO;RONALDO VITOR DE SOUZA;Cavaleiro;20/09/2019;;;;
Empresário;RONALDO VON SCHILGAN CINTRA NOGUEIRA;Comendador;;2.752/MD;22/10/2014;;
Brig Eng;RONALDO YUAN;Comendador;22/10/2014;;;;
Senador;RONAN DE ALMEIDA TITO;Grande-Oficial;18/09/1991;;;;
Gen Bda;RONDON DE OLIVEIRA GUIMARÃES;Oficial;04/10/1973;;;;
Deputado;RONDON PACHECO;Grande-Oficial;22/08/1967;;;;
Secretário Nacional de Aviação Civil;RONEI SAGGIORO GLANZMANN;Comendador;;3.210/GM-MD;25/09/2020;;
Cel Inf;RONEL SILVEIRA E SILVA;Cavaleiro;29/09/2009;;;;
Cel Int;RONEY TAVARES;Oficial;19/10/2010;;;;
Maj QOECOM;RONI LUIZ SCHILDT;Cavaleiro;19/10/2012;;;;
Cel Av;RONILDO RIBEIRO MOREIRA;Oficial;26/09/2005;;;;
Coronel Médico;ROOSEVELT LOUBACK DE CARVALHO;Oficial;20/09/2019;;;;
Coronel R/1 (Ex);ROOSEVELT WILSON SANT´ANA;Oficial;26/09/2005;;;;
Doutor;ROQUE GUILLERMO CARRANZA;Grande-Oficial;18/07/1985;;;;
Médico;ROQUE MONTELEONE NETO;Oficial;06/09/2004;;;;
Ten Cel QFO ANS;ROSA MARIA DOS SANTOS MIRANDA;Cavaleiro;21/10/2013;; ;;
Ministra do Supremo Tribunal Federal;ROSA MARIA WEBER CANDIOTA DA ROSA;Grande-Oficial;21/10/2013;; ;;
Governadora (RN);ROSALBA CIARLINI ROSADO;Grande-Oficial;19/10/2012;;;;
Juíza-Auditora;ROSALI CUNHA MACHADO LIMA;Oficial;29/09/2009;;;;
Senhora;ROSALINA CHAGAS DA SILVA;Cavaleiro;19/10/2010;;;;
Gen Bda;ROSALINO HERNANDES CANDIA;Oficial;20/09/1984;;;;
Senhor;ROSALVO BARROS DE LALÔR;Oficial;12/09/1995;;;;
Gen Div;ROSALVO EDUARDO JANSEN;Comendador;04/10/1976;;;;
Brig Ar Ref;ROSALVO MALAGUTI;Comendador;15/09/1982;;;;
Administradora;ROSANA CAMARGO DE ARRUDA BOTELHO;Comendador;;2.818/MD;22/10/2012;;
Senhora;ROSANA MARIA BRAGA BARROS;Cavaleiro;04/10/2007;;;;
Professora;ROSÂNGELA DE OLIVEIRA COLABONE;Oficial;29/09/2009;;;;
Senhora;ROSANGELA LOPES SARAIVA;Cavaleiro;;3.552/GM-MD;21/09/2018;;
Cap QOEA SVI R/1;ROSANGELA MARTINS DA COSTA LEMOS;Cavaleiro;02/10/2017;;;;
Prefeito (Parnamirim/RN);ROSANO TAVEIRA DA CUNHA;Cavaleiro;;3.552/GM-MD;21/09/2018;;
SO QSS BMA;ROSARIO JOAQUIM FRANCISCO MICUCCI;Cavaleiro;20/09/2006;;;;
Capitão (US Navy);ROSCOE L. BOWMAN;Cavaleiro;23/06/1950;;;;
Governadora (MA);ROSEANA SARNEY MURAD;Grande-Oficial;28/09/1999;;;;
Senhora;ROSELENE PAIVA DA SILVA ARAUJO;Cavaleiro;;2.818/MD;22/10/2012;;
SO QFG SAD R/1;ROSELINA NUNES DOS SANTOS ROSESTOLATO DE MORAES;Cavaleiro;13/10/2016;;;;
Economista;ROSELY ALVARENGA LIMA CAETANO SILVA;Cavaleiro;06/09/2004;;;;
1S QFG SAD;ROSEMARY ROSA DOS SANTOS FRANCO;Cavaleiro;29/09/2009;;;;
Senadora da República;ROSILDA DE FREITAS;Grande-Oficial;20/10/2015;;;;
Suboficial SAD;ROSILENE BERALDO FONTES;Cavaleiro;20/09/2019;;;;
SO QSS SAD Refm;ROSINALDO LEMOS DE SOUSA;Cavaleiro;15/10/2018;;;;
Senhora;ROSMARY CORRÊA;Cavaleiro;;3.552/GM-MD;21/09/2018;;
Economista;ROSSANO MARANHÃO PINTO;Cavaleiro;23/09/1997;;;;
Senhor;ROSSILDO FARIA DE OLIVEIRA;Oficial;;1.699/MD;15/10/2016;;
1º Ten Ref;ROSSINE LUIZ DO NASCIMENTO;Oficial;16/09/1998;;;;
SO QSS BET;ROSSINE PINTO DE AGUIAR;Cavaleiro;26/09/2000;;;;
CMG (US Navy);ROSSMORE D. LYON;Comendador;20/11/1944;;;;
Embaixador da República da Ucrânia;ROSTYSLAV VOLODYMYROVYCH TRONENKO;Grande-Oficial;20/09/2019;;;;
Cel Av;ROTHDAY ZANY MARQUES;Oficial;26/09/2005;;;;
Cel (Ex);ROTHIER FLORES DE SIQUEIRA;Oficial;01/10/1975;;;;
Brig Ar;ROVERSON WILLIAM MILKER FIGUEIREDO;Comendador;29/09/2009;;;;
CMG;ROY MIDDLETON BRAGA WALTER;Oficial;02/10/1978;;;;
Desembargador;ROY REIS FRIEDE;Grande-Oficial;20/09/2019;;;;
Cel Av;ROZEMILDO VAZ SOUZA;Oficial;22/10/2014;;;;
Cel Med;RUALDO FERNANDES PESSOA;Oficial;20/09/2006;;;;
Conselheiro;RUBEL THOMAS;Comendador;20/09/1984;;;;
Superintendente Regional DPF (RS);RUBEM ALBINO FOCKINK;Comendador;17/10/2002;;;;
Gen Bda;RUBEM AUGUSTO TAVEIRA;Oficial;05/09/1988;;;;
Maj QOECTA;RUBEM BEZERRA CAMPOS JUNIOR;Cavaleiro;21/10/2013;; ;;
Gen Bda;RUBEM CARLOS LUDWIG;Grande-Oficial;15/09/1981;;;;
Cel Eng;RUBEM CEZAR CURSINO FERREIRA;Cavaleiro;20/09/2006;;;;
Gen Div;RUBEM CONTINENTINO DIAS RIBEIRO;Comendador;13/10/1969;;;;
Cel Av;RUBEM COUTO FILHO;Oficial;19/10/2010;;;;
V Alte (Md);RUBEM DE ANDRADE ARRUDA;Comendador;12/09/1990;;;;
Senhor;RUBEM FERREIRA LIMA;Oficial;21/10/2011;;;;
Senhor;RUBEM MARTIM BERTA;Comendador;19/10/1965;;;;
Deputado Federal;RUBEM MEDINA;Comendador;17/09/1980;;;;
Coronel Aviador;RUBEM MULLER SCHNEIDER;Cavaleiro;20/09/2019;;;;
Gen Bda;RUBEM PEIXOTO ALEXANDRE;Comendador;17/10/2002;;;;
Cel Ex (Int);RUBEM REY;Cavaleiro;20/10/1967;;;;
Senhor;RUBEM SEBASTIÃO DE ANDRADE CAMPELO;Cavaleiro;09/10/1972;;;;
Gen Bda;RUBÉN CARLOS GARCÍA SERVERT;Comendador;;2.818/MD;22/10/2012;;
Gen Av;RUBEN CASTRO LOPES;Grande-Oficial;05/09/1962;;;;
Maj Av;RUBEN DARIO PIRELA;Oficial;04/09/1974;;;;
General de Brigada (Paraguai);RUBÉN DARÍO PIRIS FERNÁNDEZ;Grande-Oficial;13/10/2020;;;;
Cel Av Ref;RUBEN FERNANDO BAPTISTA DA CUNHA;Comendador;19/10/2010;;;;
Cel Av;RUBEN LUIZ TAVARES;Oficial;04/10/1976;;;;
Brigadeiro-General (Argentina);RUBÉN MARIO MONTENEGRO;Grande-Oficial;28/09/1999;;;;
Cel Dent;RUBEN THOME DE VASCONCELLOS;Cavaleiro;04/10/2007;;;;
CF;RUBENS ALEXANDRE BARROS LUCIOLA;Oficial;25/09/2008;;;;
Senhor;RUBENS AMÉRICO RODRIGUES BORDINI;Oficial;15/10/1963;;;;
Embaixador;RUBENS ANTÔNIO BARBOSA;Grande-Oficial;20/09/1985;;;;
Gen Div;RUBENS BAYMA DENYS;Grande-Oficial;20/09/1985;;;;
Brig Ar;RUBENS CARNEIRO DE CAMPOS;Comendador;09/10/1972;;;;
Cap QOEA SVA;RUBENS DOS SANTOS SILVA;Cavaleiro;21/10/2013;; ;;
Ten Cel Ex;RUBENS EDISON PINTO;Oficial;20/09/1983;;;;
Comandante;RUBENS FERRAZ DO AMARAL;Cavaleiro;18/09/1991;;;;
Senhor;RUBENS GALLERANI;Oficial;26/09/2000;;;;
Coronel Aviador;RUBENS GONÇALVES;Cavaleiro;20/09/2019;;;;
Cel Av;RUBENS GONÇALVES ARRUDA;Oficial;13/10/1969;;;;
SO QSS BCO;RUBENS JOSÉ SANTOS DE MATTOS;Cavaleiro;04/10/2007;;;;
2S Ref (Ex);RUBENS LEITE DE ANDRADE;Cavaleiro;01/10/2003;;;;
Reitor (UNICID-SP);RUBENS LOPES DA CRUZ;Comendador;25/09/2008;;;;
Gen Ex;RUBENS MÁRIO BRUM NEGREIROS;Grande-Oficial;20/09/1984;;;;
Ten Cel Med;RUBENS MARQUES DOS SANTOS;Comendador;04/10/1973;;;;
Senador (RO);RUBENS MOREIRA MENDES FILHO;Grande-Oficial;26/09/2001;;;;
Deputado Federal (GO);RUBENS OTONI GOMIDE;Grande-Oficial;01/10/2003;;;;
Senhor;RUBENS PEREIRA LEITE;Cavaleiro;01/10/1975;;;;
Cap QOEA SVA;RUBENS PINTO RANGEL;Cavaleiro;19/10/2012;;;;
Gen Bda;RUBENS RESSTEL;Comendador;04/10/1976;;;;
Cel Av;RUBENS RIBEIRO CARDOSO FILHO;Cavaleiro;26/09/2000;;;;
Embaixador;RUBENS RICÚPERO;Grande-Oficial;15/09/1982;;;;
Comandante;RUBENS SILVA TAVARES;Cavaleiro;19/10/2010;;;;
General-de-Divisão;RUBENS SILVEIRA BROCHADO;Comendador;01/10/2003;;;;
Senhor;RUBENS VAZ DA COSTA;Comendador;18/09/1991;;;;
Doutor;RUBENS VIEIRA DO AMARAL;Cavaleiro;14/10/1992;;;;
Doutor;RUBENS YOSHIEITI YONAMINE;Comendador;05/09/1988;;;;
Ten Cel QFO Enf;RUBIA PEREIRA CARNEIRO;Cavaleiro;21/10/2011;;;;
Doutor;RUBIO FERNAL FERREIRA E SOUSA;Comendador;25/09/1981;;;;
Cel PM (MG);RÚBIO PAULINO COELHO;Oficial;17/10/2002;;;;
Capitão QOEA CTA R/1;RUDIMAR GONÇALVES;Cavaleiro;20/10/2015;;;;
Doutor;RUDNEI DIAS DA CUNHA;Oficial;17/10/2002;;;;
Comandante;RUDOLF A. DE BITTENCOURT NAEGELI;Cavaleiro;04/10/1976;;;;
1º Comandante;RUDOLF CRAMER VOM CLAUSBRUCH;Oficial;03/02/1971;;;;
Cel Av R/1;RUFINO ANTÔNIO DA SILVA FERREIRA;Oficial;29/09/2009;;;;
CMG R/1;RUI ALENCAR ANDRADE;Oficial;01/10/2003;;;;
Coronel (Portugal);RUI ALFREDO FAUSTINO CAMPOS;Oficial;15/10/2018;;;;
Gen Ex;RUI ALVES CATÃO;Grande-Oficial;20/09/2006;;;;
Cel Int;RUI ALVES DE ARAUJO;Oficial;26/09/2001;;;;
Conselheiro;RUI ANTONIO JUCA PINHEIRO DE VASCONCELLOS;Comendador;;2.752/MD;22/10/2014;;
Maj Brig Ar Ref;RUI BARBOSA MOREIRA LIMA;Grande-Oficial;26/09/2001;;;;
Cap Av;RUI BARBOSA NUNES;Cavaleiro;20/09/1985;;;;
Senhor;RUI CARLOS VÖLZ BARBOSA;Oficial;06/09/2004;;;;
Cel Av;RUI CELSO KRELLING;Cavaleiro;14/10/1992;;;;
Maj Brig Ar;RUI CHAGAS MESQUITA;Grande-Oficial;13/10/2016;;;;
C Alte;RUI DA FONSECA ELIA;Comendador;28/09/1999;;;;
Cel Av;RUI LUÍS ZANCANARO;Oficial;07/10/1994;;;;
General-de-Exército;RUI MONARCA DA SILVEIRA;Grande-Oficial;29/09/2009;;;;
Ten Cel Ex;RUI PINHEIRO SILVA;Oficial;15/09/1982;;;;
2S QSS BMA;RUI RAMOS MEDEIROS FERNANDES;Cavaleiro;20/09/1983;;;;
Empresário;RUI THOMAZ DE AQUINO;Cavaleiro;04/10/2007;;;;
Gen Div;RUI YUTAKA MATSUDA;Grande-Oficial;15/10/2018;;;;
Gen Bda;RUPERTO CLODOALDO PINTO;Comendador;20/09/1985;;;;
Comissária;RUTH BORGES DE BARROS;Cavaleiro;01/10/1975;;;;
Senhora;RUTH RAMOS CANDIOTA DA SILVA;Oficial;26/09/2000;;;;
Cel Av;RUTHÊNIO CARNEIRO DA CUNHA RIBEIRO;Oficial;11/10/1962;;;;
Gen Bda;RUTHÊNIO FERREIRA DO VALLE;Comendador;16/09/1998;;;;
Doutor;RUY ALBERTO COSTA LINS;Oficial;25/09/1979;;;;
Doutor;RUY ANTÔNIO PINHEIRO DE VASCONCELLOS;Comendador;16/09/1986;;;;
Consul;RUY ANTÔNIO SILVA COSTA;Cavaleiro;25/09/1981;;;;
Cel Av;RUY BANDEIRA DE ABREU;Oficial;08/09/1989;;;;
V Alte;RUY BARCELLOS CAPETTI;Comendador;01/09/1987;;;;
CMG;RUY CAMPOS RIBEIRO;Oficial;26/09/2000;;;;
Cel Dent;RUY CARLOS CHIOSSI FORNI;Oficial;21/10/2013;; ;;
Embaixador;RUY CARLOS PEREIRA;Grande-Oficial;20/10/2015;;;;
Cel Ex;RUY CAVALCANTI BAPTISTA;Oficial;01/10/1975;;;;
Cel Inf;RUY CÉSAR BRANDI DA SILVA;Oficial;22/10/2014;;;;
Cel Av;RUY DA SILVA;Oficial;12/09/1990;;;;
Cel Av;RUY DE CAVALCANTI MACIEL RIBAS;Cavaleiro;18/09/1991;;;;
Secretário;RUY DE LIMA CASAES E SILVA;Oficial;05/10/1977;;;;
Ministro;RUY DE LIMA PESSOA;Grande-Oficial;25/09/1979;;;;
Gen Ex;RUY DE PAULA COUTO;Grande-Oficial;25/09/1979;;;;
Senhor;RUY FERREIRA DE QUEIROZ;Comendador;05/10/1977;;;;
Engenheiro;RUY FLAKS SCHNEIDER;Oficial;12/09/1995;;;;
Gen Div;RUY FREIRE RIBEIRO;Oficial;15/10/1963;;;;
Senhor;RUY GARCIA CÂMARA;Cavaleiro;05/09/1988;;;;
Tenente-Coronel-de-Infantaria (Ex);RUY HAREHIKO AKAMINE;Cavaleiro;26/09/2005;;;;
Senhor;RUY JOÃO PINHEIRO QUEIROZ;Oficial;19/10/1970;;;;
Gen Bda;RUY LEAL CAMPELLO;Comendador;01/10/1975;;;;
Cel Dent;RUY MACHADO FORNI;Cavaleiro;05/09/1988;;;;
Jornalista;RUY MESQUITA;Oficial;16/09/1986;;;;
Maj Brig Ar;RUY MESSIAS DE MENDONÇA;Grande-Oficial;16/09/1986;;;;
Embaixador;RUY NUNES PINTO NOGUEIRA;Grande-Oficial;29/09/2009;;;;
Comandante;RUY OLIVEIRA;Cavaleiro;23/09/1997;;;;
Ten Cel Int;RUY PENTAGNA GUIMARÃES;Oficial;25/09/1979;;;;
Deputado;RUY SANTOS;Comendador;15/10/1963;;;;
Coronel;RUY TAVARES MONTEIRO;Oficial;19/08/1968;;;;
Cel Int;RUY VIEIRA BARROS;Oficial;20/09/2006;;;;
Senhor;SABINO FREIRE DE LIMA;Oficial;17/09/1980;;;;
Brig Ar R/1;SABINO FREIRE DE LIMA FILHO;Oficial;23/09/1997;;;;
Maj Brig Med;SABINO LOPES RIBEIRO JÚNIOR;Cavaleiro;17/10/1960;;;;
Empresário (Japão);SADAO ONISHI;Oficial;25/09/2008;;;;
Doutor;SADI ASSIS RIBEIRO FILHO;Comendador;20/09/1983;;;;
Gen Bda;SADY GUILHERME SCHMIDT;Comendador;14/10/1992;;;;
Juíza-Auditora;SAFIRA MARIA DE FIGUEIREDO;Oficial;01/10/2003;;;;
Doutor;SAHID XERFAN;Comendador;08/09/1989;;;;
Doutor;SAID ABRAHIM FARHAT;Grande-Oficial;25/09/1979;;;;
Cel Com (Ex);SAID BRANDÃO SAYD;Oficial;22/10/2014;;;;
Deputado Federal;SALATIEL SOUSA CARVALHO;Grande-Oficial;26/09/2000;;;;
Maj Brig Int;SALIM CAFRUNE ELAHEL;Grande-Oficial;16/09/1986;;;;
Engenheiro;SALIM TAUFIC SCHAHIN;Comendador;01/10/2003;;;;
Gen Div;SALMO MIRANDA;Oficial;19/10/1965;;;;
Cel Inf;SALOMÃO PEREIRA DA SILVA;Oficial;15/10/2018;;;;
Doutor;SALOMÃO SCHVARTZMAN;Oficial;18/09/1991;;;;
Doutor;SALVADOR ARENA;Comendador;20/09/1984;;;;
Doutor;SALVADOR CALVENTE JÚNIOR;Cavaleiro;17/09/1980;;;;
Doutor;SALVADOR COTI;Oficial;17/09/1980;;;;
Cel Av;SALVADOR ELISIO TALZZIA;Oficial;20/10/2015;;;;
Comandante;SALVADOR EVANGELISTA;Cavaleiro;30/09/1988;;;;
SO QSS SAD;SALVADOR FREITAS FERREIRA;Cavaleiro;26/09/2001;;;;
Ten Gen Av;SALVADOR NOYA FERRÉ;Grande-Oficial;16/10/1957;;;;
Presidente do Instituto Nacional Newberiano;SALVADOR ROBERTO MARTÍNEZ;Comendador; ;2.954/MD;22/10/2013;;
Brig Ar;SALVADOR ROSÉS LIZARRALDE;Comendador;11/10/1962;;;;
Brig Med;SALVADOR UCHÔA CAVALCANTE;Grande-Oficial;11/10/1962;;;;
Deputado Federal;SALVADOR ZIMBALDI FILHO;Grande-Oficial;21/10/2013;; ;;
Doutor;SALVIANO ANTÔNIO GUIMARÃES BORGES;Comendador;14/10/1992;;;;
Ministro (STJ);SÁLVIO DE FIGUEIREDO TEIXEIRA;Grande-Oficial;26/09/2000;;;;
Senhor;SAMI MEHLINSKY;Cavaleiro;01/09/1987;;;;
Senhor;SAMI YOUSSEF HASSUANI;Oficial;19/10/2010;;;;
Cel Av;SAMIR MUSTAFA;Oficial;15/10/2018;;;;
Professor;SAMIR RASSLAN;Oficial;20/09/2006;;;;
Gen Ex;SAMUEL AUGUSTO ALVES CORRÊA;Grande-Oficial;02/10/1978;;;;
SO QSS BET;SAMUEL AUGUSTO ARAÚJO FONSECA;Cavaleiro;26/09/2000;;;;
Cel Av;SAMUEL DE BARROS WANDERLEY FILHO;Oficial;02/10/1978;;;;
Cel Int;SAMUEL DE MATTOS BARROSO JUNIOR;Oficial;13/10/2016;;;;
Gen Bda;SAMUEL DE TARSO TEIXEIRA PRIMO;Oficial;25/09/1979;;;;
Deputado Estadual (RJ);SAMUEL LIMA MALAFAIA;Oficial;06/09/2004;;;;
Embaixador;SAMUEL PINHEIRO GUIMARÃES NETO;Grande-Oficial;07/10/1994;;;;
Doutor;SAMUEL SIDNEY STEIMBERG;Comendador;17/10/1960;;;;
C Alte (IM);SAMY MOUSTAPHA;Comendador;19/10/2012;;;;
Ten Cel Inf;SANDOVAL BANDEIRA;Cavaleiro;20/09/1984;;;;
SO QSS SAD;SANDOVAL LUIZ BARBOSA;Cavaleiro;21/10/2011;;;;
Senhor;SANDOVAL MENDES LIMA;Cavaleiro;23/10/1963;;;;
Deputada Distrital;SANDRA FARAJ CAVALCANTE;Comendador;;1.699/MD;15/10/2016;;
Embaixadora da República Tcheca;SANDRA LANG LINKENSEDEROVÁ;Grande-Oficial;20/09/2019;;;;
Senhora;SANDRA MARIANI PAPAIORDANOU;Cavaleiro;;3.210/GM-MD;25/09/2020;;
Professora;SANDRA MARTINS CAVALCANTI;Comendador;12/10/1964;;;;
Senhora;SANDRA REGINA PORTO MEJIAS;Cavaleiro;19/10/2010;;;;
Deputado Federal (GO);SANDRO ANTÔNIO SCODRO;Grande-Oficial;06/09/2004;;;;
Cel Av;SANDRO BENEDET;Cavaleiro;13/10/2020;;;;
Cel Av;SANDRO BERNARDON;Cavaleiro;20/09/2019;;;;
Presidente (TCE-RS);SANDRO DORIVAL MARQUES PIRES;Comendador;20/09/2006;;;;
Cel Av;SANDRO FRANCALACCI DE CASTRO FARIA;Oficial;02/10/2017;;;;
Cel Av;SANDRO LÚCIO SANTANA DO NASCIMENTO;Cavaleiro;20/09/2019;;;;
Major PM (MG);SANDRO NUNES DE PAIVA;Cavaleiro;;3.626/GM-MD;29/08/2019;;
Cel Av;SANDRO ROGERIO DELMONICO;Cavaleiro;15/10/2018;;;;
Doutor;SANSÃO CAMPOS PEREIRA;Oficial;01/10/2003;;;;
Ministro 2ª Classe;SARKIS KARMIRIAN;Comendador;07/10/1994;;;;
Vice-Presidente Executivo (EMBRAER);SATOSHI YOKOTA;Comendador;04/10/2007;;;;
Cel Av;SAULO DAVID;Oficial;28/09/1999;;;;
Ten Brig Ar;SAULO DE MATTOS MACEDO;Grã-Cruz;15/09/1982;;;;
Cel Int;SAULO FERREIRA LOPES;Cavaleiro;13/10/2016;;;;
Doutor;SAULO PINTO MOREIRA;Oficial;07/10/1994;;;;
Engenheiro;SAULO PIRES VIANA;Oficial;20/10/1967;;;;
Brig Ar;SAULO VALADARES DO AMARAL;Comendador;20/10/2015;;;;
Procurador da Ass Legislativa (SC);SAULO VIEIRA;Oficial;25/09/2008;;;;
Doutor;SAULO WANDERLEY;Oficial;16/09/1986;;;;
Senhor;SAURO ZEN;Cavaleiro;05/10/1977;;;;
V Alte;SÁVIO DUARTE NUNES;Comendador;17/10/1966;;;;
Senhor;SÁVIO LUCIANO DE ANDRADE FILHO;Oficial;19/10/2010;;;;
General Ex;SAYED ABD ELAZIZ ELSAYED;Comendador;05/09/1988;;;;
Senador (AC);SEBASTIÃO AFONSO VIANA MACEDO NEVES;Grande-Oficial;01/10/2003;;;;
SO QSS SEM;SEBASTIÃO ALBERTO TORRES;Cavaleiro;07/10/1994;;;;
Cel Int;SEBASTIÃO ALVES RABELO;Oficial;20/09/1983;;;;
SO QSS SAD;SEBASTIÃO ANTÔNIO BARBOZA;Cavaleiro;14/10/1992;;;;
Cel Ex;SEBASTIÃO ANTÔNIO TAVARES;Oficial;25/09/1979;;;;
SO QSS SAD;SEBASTIÃO BARBOSA DE OLIVEIRA;Cavaleiro;25/09/1979;;;;
1S QSS SGS;SEBASTIÃO BARROSO DE ALMEIDA JUNIOR;Cavaleiro;15/10/2018;;;;
Ten Cel Capl;SEBASTIÃO BARTOLOMEU MENDES;Oficial;16/09/1986;;;;
Cel Int;SEBASTIÃO CAETANO DA SILVA JÚNIOR;Oficial;07/10/1994;;;;
2º Sgt Aer;SEBASTIÃO CARLOS DA SILVA LEONARDO;Cavaleiro;18/09/1991;;;;
SO QSS BFT;SEBASTIÃO CARLOS FERREIRA;Cavaleiro;29/09/2009;;;;
Doutor;SEBASTIÃO CORRÊA PORTELLA;Oficial;02/10/1978;;;;
Cel Av;SEBASTIÃO DA CRUZ SILVA;Oficial;20/09/1983;;;;
Ten Cel R/1;SEBASTIÃO DAS NEVES MORAES;Cavaleiro;26/09/2001;;;;
Professor;SEBASTIÃO DE OLIVEIRA BAUMGARTH;Oficial;07/10/1994;;;;
Cel (Ex);SEBASTIÃO DE SEIXAS MEIRELLES;Oficial;16/09/1986;;;;
SO QSS SAD;SEBASTIÃO DE SOUZA MATOS;Cavaleiro;02/10/2017;;;;
Cel PM (SP);SEBASTIÃO DE SOUZA PINTO;Oficial;17/10/2002;;;;
Engenheiro;SEBASTIÃO DO NASCIMENTO NETO;Cavaleiro;;3.552/GM-MD;21/09/2018;;
Embaixador;SEBASTIÃO DO RÊGO BARROS NETTO;Grande-Oficial;08/09/1989;;;;
SO QSS BMA;SEBASTIÃO DOS SANTOS MACHADO;Oficial;19/10/1970;;;;
Cel Int;SEBASTIÃO ÉLDER CAMINHA DE AVELLAR;Oficial;29/09/2009;;;;
Senhor;SEBASTIÃO EURÍPEDES RODRIGUES;Grande-Oficial;06/09/2004;;;;
Desembargador;SEBASTIÃO FAGUNDES DE DEUS;Comendador;21/10/2011;;;;
Senhor;SEBASTIÃO FERRAZ DE CAMARGO PENTEADO;Comendador;25/09/1981;;;;
1º Ten QOEA;SEBASTIÃO FERREIRA;Cavaleiro;20/09/1985;;;;
Cel Int;SEBASTIÃO FERREIRA;Cavaleiro;16/09/1998;;;;
Deputado Federal (AP);SEBASTIÃO FERREIRA ROCHA;Grande-Oficial;17/10/2002;;;;
Cel Av R/1;SEBASTIÃO GILBERTI MAIA CAVALI;Cavaleiro;29/09/2009;;;;
Doutor;SEBASTIÃO HENRIQUE DA CUNHA PONTES FILHO;Oficial;05/10/1977;;;;
Cap Av;SEBASTIÃO JOSÉ NEPOMUCENO DA CUNHA;Cavaleiro;25/09/1979;;;;
Gen Ex;SEBASTIÃO JOSÉ RAMOS DE CASTRO;Grande-Oficial;20/09/1984;;;;
Senador (AC);SEBASTIÃO MACHADO OLIVEIRA;Grande-Oficial;06/09/2004;;;;
1º Ten Av;SEBASTIÃO MARCONDES NOVAIS VIANA;Cavaleiro;25/09/1979;;;;
Suboficial SGS;SEBASTIÃO MARCOS BENTO DE LIMA;Cavaleiro;20/09/2019;;;;
Diretor Financeiro (INFRAERO);SEBASTIÃO MARTINS FERREIRA JUNIOR;Oficial;25/09/2008;;;;
1S QSS BCO;SEBASTIÃO MASPOLI NUNES FERREIRA;Cavaleiro;20/09/1985;;;;
SO QSS BMA;SEBASTIÃO MONTEIRO AMARAL;Cavaleiro;15/10/2018;;;;
